flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,route,departure_date,arrival_date,departure_hour,arrival_hour,is_overnight
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,174.0,CCU → MAA,2026-04-20,2026-04-21,23,2,True
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,108.0,BOM → CCU,2026-04-20,2026-04-21,23,1,True
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,105.0,BOM → CCU,2026-04-20,2026-04-21,23,1,True
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,156.0,BOM → CCU,2026-04-20,2026-04-21,23,1,True
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,299.0,MAA → BOM,2026-04-20,2026-04-21,23,4,True
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,139.0,DEL → HYD,2026-04-20,2026-04-21,23,1,True
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,103.0,CCU → MAA,2026-04-20,2026-04-21,23,0,True
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,92.0,BOM → HYD,2026-04-20,2026-04-21,23,0,True
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,55.0,BLR → BOM,2026-04-20,2026-04-20,23,23,False
6F251,UNKNOWN,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,41.0,DEL → BLR,2026-04-20,2026-04-20,22,23,False
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,148.0,BOM → DEL,2026-04-20,2026-04-21,22,1,True
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,267.0,BOM → CCU,2026-04-20,2026-04-21,22,3,True
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,181.0,DEL → MAA,2026-04-20,2026-04-21,22,1,True
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,141.0,BOM → CCU,2026-04-20,2026-04-21,22,1,True
AI069,UNKNOWN,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,226.0,DEL → BOM,2026-04-20,2026-04-21,22,2,True
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,98.0,BOM → CCU,2026-04-20,2026-04-21,22,0,True
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,223.0,BOM → DEL,2026-04-20,2026-04-21,22,2,True
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,106.0,BOM → CCU,2026-04-20,2026-04-21,22,0,True
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,35.0,MAA → DEL,2026-04-20,2026-04-20,22,22,False
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,232.0,CCU → DEL,2026-04-20,2026-04-21,22,2,True
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,140.0,HYD → DEL,2026-04-20,2026-04-21,22,0,True
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,147.0,BLR → BOM,2026-04-20,2026-04-21,22,0,True
