route,flight_count,average_duration_minutes,overnight_flights,overnight_percentage
BOM → CCU,90,169.51,16,17.78
CCU → DEL,72,153.61,11,15.28
MAA → BLR,65,172.82,8,12.31
BLR → BOM,60,147.73,7,11.67
HYD → MAA,57,152.81,5,8.77
DEL → HYD,54,174.76,6,11.11
HYD → DEL,42,185.36,9,21.43
BOM → DEL,39,153.82,3,7.69
CCU → BOM,33,163.97,1,3.03
DEL → BLR,29,170.03,3,10.34
DEL → BOM,28,178.11,5,17.86
HYD → BOM,27,155.48,3,11.11
BOM → MAA,27,183.41,5,18.52
BOM → HYD,26,180.85,4,15.38
MAA → DEL,26,155.96,2,7.69
HYD → CCU,26,167.15,2,7.69
DEL → CCU,26,151.73,3,11.54
HYD → BLR,26,162.77,2,7.69
MAA → CCU,24,158.54,1,4.17
CCU → MAA,24,171.29,3,12.5
BOM → BLR,23,176.52,1,4.35
DEL → MAA,23,178.78,4,17.39
BLR → CCU,21,128.52,4,19.05
CCU → HYD,21,152.24,1,4.76
MAA → BOM,21,176.76,4,19.05
MAA → HYD,21,160.0,0,0.0
CCU → BLR,20,167.35,3,15.0
BLR → DEL,19,156.95,1,5.26
BLR → HYD,19,155.68,3,15.79
BLR → MAA,16,187.31,2,12.5
